    BicycleBmxTeal, {x:1.84, y:1.02, z:1.29}
    BalloonBunchRed, {x:1.32, y:1.03, z:3.26}
    VipRopeSilverAddon, {x:3.53, y:0.46, z:1.17}
    VipRopeGoldShort, {x:0.46, y:2.05, z:1.17}
    GuitarMetalRed, {x:0.48, y:0.10, z:1.39}
    WhiteboardEraser, {x:0.29, y:0.15, z:0.07}
    BalloonBlack, {x:0.50, y:0.50, z:2.23}
    BicycleBmxPegsYellow, {x:1.84, y:1.02, z:1.28}
    BalloonBunchBlue, {x:1.20, y:0.95, z:1.15}
    ConstructionConeNeon, {x:0.56, y:0.56, z:0.62}
    BicycleBeachCruiserBlue, {x:2.47, y:0.72, z:1.49}
    VipRopeGold, {x:3.82, y:0.46, z:1.17}
    StageStar, {x:12.17, y:11.58, z:1.05}
    StageTrussDark, {x:14.03, y:2.04, z:8.11}
    SpeakersBigMulti, {x:1.50, y:1.50, z:1.99}
    SurfboardShortboard, {x:0.50, y:0.31, z:2.25}
    SkateboardComplete, {x:1.04, y:0.28, z:0.19}
    TrophyBronze, {x:0.67, y:0.47, z:0.93}
    BalloonBunchOrange, {x:1.32, y:1.03, z:3.26}
    MobileWhiteboard, {x:3.27, y:0.30, z:2.82}
    BalloonNeonOrange, {x:0.50, y:0.50, z:2.23}
    BicycleBmxRed, {x:1.84, y:1.02, z:1.29}
    LightingArraySpotlightsColored, {x:13.19, y:1.53, z:1.44}
    FoldingTableFolded, {x:2.64, y:0.98, z:0.17}
    BalloonOrange, {x:0.50, y:0.50, z:2.23}
    LightingArraySpotlightsDark, {x:13.19, y:1.53, z:1.44}
    FoldingTable, {x:2.64, y:0.98, z:0.85}
    MiningTrackStraight, {x:3.19, y:0.70, z:0.07}
    BackdropBlack, {x:4.00, y:4.00, z:4.00}
    GreenScreen, {x:8.00, y:4.00, z:4.00}
    StageRectangularLight, {x:9.00, y:6.00, z:1.00}
    BicycleBeachCruiserBlackKickstand, {x:2.47, y:0.72, z:1.50}
    Banana, {x:0.36, y:0.10, z:0.07}
    LightingStand, {x:1.31, y:1.13, z:3.41}
    BicycleBmxPegsPink, {x:1.83, y:0.97, z:1.29}
    BicycleBmxPegsBlue, {x:1.83, y:0.97, z:1.29}
    BalloonPurple, {x:0.50, y:0.50, z:2.23}
    SkateboardDeck, {x:1.04, y:0.22, z:0.22}
